,review title,job title,job location,date,description,pros,cons
327,Santa SÃ © © © curita is very paramount,MECHANIC PLANT,Sorel Tracy,"December 14, 2015","I was working on 12 Heures.J`ai Ã © © been hired as a welder © 1975 except qu`en 1988 the Company amalgamated © e mechanic and plumber in one post ""MÃ © mechanic D`Usine giving us the training on other postes.On had a Happy Relationship Travail..Nous were constante.l`aspectle training more reliable is the Aga © d`appartenance feeling of the majority of workers ©",the respect,The 12 Hours of Night
328,reliable company,"Planner, supervisor Relave","Havre-Saint-Pierre, QC","December 1, 2015","I to shut © Ã © electrician floor, it has © was my first options is © Experience working in the field. I had a very nice welcome and good career path. Work very versatile.",#VALUE!,#VALUE!
329,Engineer at the business unit level,Project Engineer,"Salt Lake City, UT","November 30, 2015","Great set of colleagues. Good culture at the corporate level, but can vary from operation to operation. The company invests in its people. Management is quite proactive on internal issues as well as investing/interacting with the community. Usually a good amount of opportunity for challenging assignments. Also plenty of opportunity to find someone to mentor you for certain skills / projects.",#VALUE!,#VALUE!
330,Engineer at the business unit level,Environmental Engineer,"Perth, WA","November 30, 2015","Plenty of opportunity to work with large teams as nearly every project involves multiple groups in the company. This requires quickly learning good influencing skills. Good culture, overall with lots of high quality colleagues. Always someone willing to mentor you for specific skills. Depending on where you are in the business cycle, there can be lots or little room for advancement, but they do invest in their people so that when the business cycle begins to lift, there are qualified people to fill the roles.",#VALUE!,#VALUE!
331,"friendship, teamwork",Supervisor Shift,Supervisor Shift,"November 28, 2015","Not for the faint hearted working on the mines, long days, hrs and harsh conditions. Have a game plan and you'll be right. Thye money is good but considering the lifestyle you every dollar.",5 yrs long service,hot and wet
332,Challenging but enjoyable.,Scaffolder,"Nhulunbuy, NT","November 21, 2015","Challenging work everyday. Good working station and co-workers. The management always give all the needs of the workers such as food and lodging, PPE, medical benefits and transportation. The hardest part of the job is when I assigned in boiler area but a challenging job. The most enjoyable part of the job is when we have done the job early as the required time frame.","food and lodging, Ppe, medical benefits and transportation.",#VALUE!
333,Politics,Industrial Instrumentation/Electrical Technician,"Boron, CA","November 19, 2015",There is a lack of cohesion between the departments in a supervisory level which rolls downhill to the workforce and disables you from being productive in your daily tasks due to constant required authorizations. Too many unqualified chiefs and definitely not enough Indians!,decent pay for the work,politics
334,Fantastic Work Environment,Administrative Assistant,"MontrÃ © al, QC","November 16, 2015",Top notch work environment. Worked with the best lawyers and assistants. Couldn't have asked for a better job at the time.,#VALUE!,#VALUE!
335,© Agra reliable environment,Superintendent painter,"Sorel-Tracy, QC","November 8, 2015","I worked with very good © supervisors and collaborateurs.L'aspect hardest Ã © painting was in very hot conditions between tuyaux.L'aspect most reliable Agra © Ã © silent all projects we have achieved, paint nacelle.Un in height with very good spirit of Ã © team.",Hours and gasoline paid ©,The distance from home to work
337,A Ã © team Purchases top,Purchasing Director Book © gional Europe Africa,"Paris, A8","November 6, 2015","In charge of> 12 sites between Iceland and Cameroon, I cover myself © up to more than 50% in France and at the Ã © tranger.Mon office is in Paris Basa © Decentralization © fense but my Ã © teams © PRA are footpaths on the site © opÃ rationnelsDonc in gÃ © nÃ © ral is: Detail © part to a site in France or elsewhere early on Monday morning and return Friday evening. Sometimes I stay the weekend on place distance.L'ordre day is very rodeo © - Master Plan of the local Purchasing Department (ADA © equation of the Strata © gie purchases with Strata © Site gy) - Review of KPI and AMA Plans © lioration- Participation in a kaizen or project- Details Plan Review © development of Ã © teams locales- 1 or 2 MOR Exchange with internal customers with the CRM critiques- GM map- SRM with Strata suppliers © cal site or beg eventet we traditionally a meal at team © + © team building activities (immersion with the local community © s) In 8 years I Ã © voluÃ © professionally 3 times. © e hired as Purchasing Director for a site of 650 people and 350 contractors, I quickly took the RESPONSABILITA © français sites. And in 2011, I headed Purchasing Europe / Afrique.Jusqu'en 2013, of a management cover © very development followed which allowed me a nice progression with many challenges including WADA © lioration of industrial performance and MarketNote sites. With beautiful success at the key with my © Ã © quipes.Si © e I arrived at this position today, I can say a big thank you to those Ã © teams that are part and parcel of Integral © my day to day. Â Nousa more ... mÃªmes share the values, same vision and especially the same passion of Purchasing and all activities © s and people who gravitate. Their total support has been Ã © © and remains for me essentielDe Culture differ © annuity, or professional backgrounds differ © rents, their options is combined experi- © © es is the strength of our Ã © quipe.Chacun brings a stone Ã © Ã the edifice and gives his utmost to advance the entreprise.Bref, a Ã © team at TOP has my respect and my confidence! Since 2012, many magazines Strata © cal on 5 continents at that lead uncertainty about oPPORTUNITA © s Ã © volution and a meeting © duction of pÃ © rimÃ¨tre.Des Details © tough decisions Result organizations Ã © take and prises.Il is never easy to stay © adorn employees or collaborators also © tents and competent professionals. And Ã © also, fewer challenges and motivating © cover made less and less Strata © giques.L'aspect the more difficult my position: the start © jet lag with topex procurement (ref © unions very very late or very very early morning) and currently changing direction every 6 purchases moisL'aspect most Agra © ble of my position: the rich Ã © Ã © exchanges with multicultural and international teams passionate © are by their travail.Â Â less",Wealth of Ã © multi-cultural exchange,© little visibility on the Strata © gie EMEA
338,great experience working for rio tinto,assistant chemist,"Salt Lake City, UT","November 5, 2015","very busy, efficient well organized work place.Tim work, codependent of each other, rotating job duties,Supportive management.",#VALUE!,#VALUE!
339,good site and accomadition,Supply Officer,Cape Lambert WA,"October 30, 2015",have been there as a contractor for 2 @ half years looking for a permanent role.over all happy there good site and work one off the best sites in accomadition to be working at.,good site,job security
340,Find a better job,I PRA © sentement employees © subcontracted,"Arvida, QC","October 27, 2015",I believe that a typical e JOURNALISM © Nunavut. This is the project's progress to the confession of ingÃ © engineer again and again welded to the assembly with a pipefiter. On after me there is a lot I would say even Ã © © ment enormously welding that that interest me © ress to more developed,"wages, hours accumulate, work",away from your friends and your family
341,Great and safe environment,Hahn Electrical - Contractor,Cape Lambert Ports,"October 21, 2015",Safe environment and sufficient company to work for. Management ensures that every body work safe and knows what is expected of them by having weekly meetings.Training is a big part of Rio Tinto's vision Rio Tinto is a leading global mining and metal company who focus on finding mining and processing the earths mineral resources,Good salary,Away from home to long
342,Global Professional organisation,Learning Management System Advisor (SAP),Perth WA,"October 20, 2015",Highly professional large company. There may be a decent amount of red tape as could be expected in a large global company.There is scope for personal development and it is actually encouraged,Excellent renumeration opportunities,#VALUE!
343,Great job to learn new or more skills,Operator c,Magna Utah,"October 14, 2015","A typical day of work at the power plant includes: Blowing soot on the boilers, Running coal, Shoveling, Dumping out the rock traps, Performing rounds (inspecting equipment), Slagging the molten coal out of the boiler, Inspecting the boilers. When the boilers are offline for maintenance you use a vacuum truck, shoot plugs through the condensers tubes, Perform housekeeping items (sweeping, moving debri, ect). At this job I learned a great deal about boilers, forklift/dozer operations, coal, and coal quality, Some Physical labor techniques. Management is great and willing to work with and for you. Co-workers are good but can be prone to childish behaviors. Hardest part of the job is slagging out the boilers. Or trying to catch up if a malfunction occurs in the plant. Best part of this job is what is available to be learned. The skills and qualifications they give freely.",#VALUE!,#VALUE!
344,Great Company,Sourcing Specialist/Bulk Commodity Specialist,"South Jordan, Ut","October 14, 2015","Enjoy all Aspects about the job, great people good management, benefits Co-workers are very enjoyable to work with and be around.",#VALUE!,#VALUE!
345,Informative experience,Internal,"Oxford, ENG","October 12, 2015",I had the opportunity to shadow a Principal Advisor in the Subsidiary Management team. The team I spent time with gave me an insight into the way in which their company works.,#VALUE!,#VALUE!
346,Exciting job in a bad market,Senior Supervisor - Open Pit Maintenance,Rio Tinto,"October 8, 2015","Rio Tinto is one of the leaders in mining. The mining world is changing though due to the compliance industry (ie insurance). Rio Tinto is a great company even in these changing times. Due to their size, it is easy to become a number. The diversity of the company is a bonus. This diversity is shown by the company being multi-national, which adds different ideas and input.Mining is a fast paced, dangerous environment that requires the utmost attention. Anyone that does not respect this mindset can and will cause personal harm to themselves or others.",#VALUE!,#VALUE!
347,productive and learning envirnment,"A / P & Scanner Processor, Processor EM","Salt Lake City, UT","September 28, 2015","busy all the time, no down time, always learning new positions, management doesn't have great communication with other departments",room to learn new things because,bad management
348,Great,Mine Production Superintendent,"Paraburdoo, WA","September 26, 2015","Great place to work, good career building company. I highly recommend Rio Tinto to other career seekers. Look to the Rio Tinto careers page for opportunities.",#VALUE!,#VALUE!
349,nice atmosphere works,"Havre-Saint-Pierre, QC",Saint Pierre haven,"September 23, 2015","© JOURNALISM working 12-hour working 3,2,2,3longue happiness I love the big machine",salary,works pus
350,Listen + support of the hierarchy,Junior Pilot Project,Voreppe 38,"September 19, 2015",- Involvement in activities © s transversus business- Collaborative Environment + constructive exchange with managers,#VALUE!,#VALUE!
351,exciting and productive,Paraburdoo Rio Tinto Drill and Blast,"Paraburdoo, WA","September 16, 2015",in 2012 my school organised work experience with Rio Tinto where I went out on the mine and worked with the drill and blast crew. I helped by being a blast guard and worked as part of a team to mark sites indicating blast zones.,helping people in teams,long hours
352,Good Company to work for,Mechanical Maintainer,Cape Lambert,"September 7, 2015","great people to work with, learn new things every day, good benefits, would recommend anyone who get offered a job with rio to take it.",#VALUE!,#VALUE!
353,management,Console operator and assistant,"Gardanne, B8","September 3, 2015",© Integral very ressant by culture and diversity ©. Many more financial and human means.,multinational company,sale
354,Haulage Truck Diver,Haulage Truck Driver,"Bingham Canyon, UT","September 2, 2015","What was once a company of integrity known as Kennecott became a place of poor morale. One bought out by Rio Tinto they contracted out union work to Lewis Stages to get drivers that they could pay half the wage. They took away all of the pension plans and they fire long time workers for slight infractions to get them out of there. It is your typical Corperate America of today. The managment are young college graduates that know nothing about mining but are highly ""educated"" and impersonal!! After 36 years of employment the changes had become unbrarable so I retired! I had LOVED my job until it became Rio Tinto!","Good Pay, 4 on 4 off",Managment
355,Amazing company going thru tough times,Engineer,Utah,"September 1, 2015","Great company to work for, excellent benefits. Company going thru tough times due to the commodities market going down and also some key changes from the executive team. Overall a great experience. I loved working here.",#VALUE!,#VALUE!
356,Worked in the pot lines,Summer Student Cell Block Operator,Kitimat,"August 28, 2015",Most of the co workers are welcoming. I worked 12 hour shifts in hot temperatures. Worked both night shifts and day shifts.,#VALUE!,#VALUE!
358,Productive workplace with world class standards,"HEALTH ,SAFETY AND ENVIRONMENTAL OFFICER",RIOZIM LTD,"August 28, 2015","Productive work place with world class standards.Decent amount of politics and red tape.The most enjoyable part of the job was working alongside my colleagues ,sharing experiences and mentoring trainees.",employee friendly,limited stakeholder interaction
359,Rio Tinto top global company,"Safety Specialist, Oyu Tolgoi","Ulaanbaatar, Mongolia","August 27, 2015","I proud worked with Rio Tinto, because Rio Tinto has stable management system and really equal opportunity company I ever worked. HSE system was super in Rio Tinto.",Free meals and work clothes. Good working condition.,Fortnightly Day off
360,Great to bring up kids,MINE OPERATOR / EAST WEIPA AND ANDOOM,Weipa QLD,"August 27, 2015","Great place to lean and grow, supportive work place, New people all the time, lot's of politics but expected, In time of need pulls together",Working Monday to Friday,Small Town
361,Great for knowledge and skill advancement,GEOLOGIST - TECHNICAL SERVICES,"Labrador City, NL","August 20, 2015",Rio Tinto Iron Ore Company of Canada is a great working environment to advance ones skills sets. Training available to employees is top-notch.,#VALUE!,#VALUE!
362,Interesting business and many knowledgeable colleagues,Manager,Global,"August 19, 2015",Overall a good company to work for. It was a fast-paced and challenging environment with high rewards for a job well done.,Interesting business with good compensation and benefits.,Lack of work-life balance.
363,excellent,Front Office Administrator,Gurgaon,"August 11, 2015",">Enjoyable morning meeting to boost-up effort and energy to work >learned a lot about own safety environment . necessity of Rio Tinto saying ""if it is not safe ...Don't do it. >fantastic learning about easy going working and working in smart way instead of hard work , so that you will be healthy more to work happily ...without sick leave :) >Co-workers played role of shoulder to support you in every moment of your hands . >when any tough situation arise its become enjoyable to put effort for team victory .",Safe life style,mock drill from 21st floor :(
364,Good major miner,MINING ENGINEER,"Gillette, WY","August 11, 2015",Fantastic experience as an junior engineer. Options to work in offices around the globe with this world leader in mining,#VALUE!,#VALUE!
365,Great place to work. Good management. Team driven,Co-Ordinator warehouse and inbound freight,"Montreal, QC","August 5, 2015",Most enjoyable work atmosphere. People easy to work with. Good team efforts. Ability to back up each others jobs. Flexibility to work from home.,team activities days once a month,"Long hours, On call 24/7"
366,i was great working with them learnt a lot in my career,Global Recruitment Officer,India,"August 2, 2015","i was great working with them learnt a lot in my career, i want to grow more and more in my career hence choose Dubai to be my dream job",#VALUE!,#VALUE!
367,A great place to work - amazing people,My role was HSE Manager,La Trobe facility,"July 20, 2015",Working with leading scientists and best practice specialists was a wonderful and rewarding experience. An extraordinary concept with extraordinary people brought together for the express purpose of making the company more effiient,"Travel, warm bringht intelligent work coleagues",Some management deficiencies
368,Challenging and interesting multi-national company,Transition Services Delivery Manager,"Chicago, IL","July 20, 2015","I gained a variety of challenging and interesting financial management experiences in the packaging, manufacturing, aluminum, and mining industries. I was also exposed to a vibrant, rich multi-national culture of professionals, working towards a goal of being a socially responsible leader in the mining and primary metals industry. Overall, my experiences were greatly favorable and I feel very privileged to have been part of such an organization.",#VALUE!,#VALUE!
369,Productive and fun workplace with a table tennis table.,Heavy duty fitter,Cape lambert,"July 16, 2015",good job lots of waiting between vessel movements lots of down time have to work hard during shut downs high temps in summer.,Lots of spare time,long hours
370,professional and exciting company,"Facilities Manager, Group Property EMEA","London, ENG","July 16, 2015",A forever changing company with a huge diverse work force from engineers through to geologist. Extremely professional company to work for with a focus on Health and Safety and Zero harm culture which has given me the skills and value to continue this culture throughout my following roles.,Free lunch,Ever changing market.
371,Environment stay very © curitaire,academic Internship,"Tracy-le-Mont, B6","July 14, 2015",At Rio Tinto nothing is taken at the lÃ © station when we talk about Santa stay © © © curita. It's very exciting to work for this employer,Very stay © curitaire,dirty media
372,"Excellent work environment, great staff, excellent training",Locomotive driver,7 Mile yard,"July 11, 2015","Great Loco's and very well managed organisation.Really enjoyed my time with Rio Tinto. Very hot working on the ground, but offset with fantastic Cab conditions and great staff.A day at the office either started with a early start, 12 hour rostered shift, or a evening start and 12 hour shift (nightshift). Learned and improved my teamwork skills, management were very human, and were able to interact well with the Train crews. co-workers were well trained and very clear and the whole working enviroment very well managed.","frequent flyer, easy roster system",distance from home and family
373,"Great Coworkers, poor upper management","Specialist, Mobile Device Management","Salt Lake City, UT","July 2, 2015",Enjoyed working with the fellow employees and working to make things better. Management has deviced to move most of the work external and therefore much productivity and innovation has been lost.,Great Benefits,Poor Management
374,good work environment,Recruitment Officer -Global Operations,New Delhi,"July 2, 2015","Excellent work environment , decent benefits , friendly co workers and good work profile but took a maternity leave for a year and half",#VALUE!,#VALUE!
375,great people and safe work enviroment,Production Excavator Operator / Dozer Operator,Pilbra,"June 30, 2015",hard digging but all in all awesome company to work for great people from the workers in the pit right up to the bosses in the office Rio Tinto had good clean machines to operate due to the workshop fitters thanks guys for keeping the gear tip top I have a lot of friends that came out of my move to Rio Tinto,"good money, great rosters, good people",hot in summer
376,"Every day was different, especially in the last 12 months with the Iron Ore price dropping, there was a constant need to revise plans and forecasts",Superintendent Commercial & Planning,"Perth, WA","June 30, 2015","The team that I worked with were hard working and always willing to put in the extra effort. The Division I supported was challenging as it was the starting point over the overall supply chain and was critical for the longevity of the business.The Management team of the Division I supported were very knowledgable and were very supportive of me and my team.The hardest part of the job was getting the business just to draw a line in the sand with plans or forecasts, the process was very drawn out and could be quite painful.The most enjoyable part of the job was the people.","Good pay, good benefits, great people","Constant change, never drawing the line in the sand for Plans/forecasts"
377,Very unorganised company,Heavy Duty Mechanic,"Perth, WA","June 29, 2015","Would not work for Rio Tinto Again as very unorganised company with management not knowing what was going on.Lots of back stabbing,lying and not knowing what is going on with their workers.The hardest part of the job was no organisation.The most enjoyable part of the job was when I quit the job and left site.",Fi / fo,12 hour shifts
379,"Good pay, benefits and union co-workers, NO PROPER RESPECTFUL MANAGEMENT",Crusher Operator,Labrador City,"June 20, 2015","New upper management are disgusting horrible people who care for nothing but themselves, they care nothing for the actual honest hard workers.","Pay rate, benefits, union co-workers","Disgusting, horrible, totally disrespectful management. ZERO RESPECT FOR UNION."
380,Always an opportunity to add-value,Specialist Asset Strategy,Perth,"June 19, 2015","Engaging place to work with supportive leaders and a ""family"" like environment with colleagues. Opportunities to operate with high levels of autonomy.",#VALUE!,#VALUE!
381,It was a long hard 35 years.,Sr Cell Operator,"Kitimat, BC","June 18, 2015","when I first started it was June of 1979, we worked 8 hour shifts ,6 days on 2 off and we worked dayshift 7 am -11 pm,afternoons was 3 pm-11 pm and nights was 11 pm-7 am for almost 20 years,Summers were very hot and we had to wear heavy wool protective clothing. Had not much of a family life because it was hard to plan anything being on call for overtime. we never had weekends of for 6 weeks. I did not like that. Coworkers were generally ok,sometimes difficult but you learn to work together when you can.Then we went on 12 hour shifts , I liked that better, hours were 7 am-7 pm for days and 7 pm-7 am for nights. we had every other weekend off. The hardest part of work was working environment it gets extremely hot and humid. The most enjoyable thing was making the most of being there,some of the co workers would organize things like on site get togethers for lunches like pot lucks and everyone would bring something in and we would all share a meal together.",Great pay and benefits,work environment was hot and dusty.
382,good work enviroment,Project Manager,"Magna, UT","June 17, 2015","Very respectful management and work place. Very professional atmosphere, good group of people. I was on a project assignment and at the completion of the assignment my employment ended.",#VALUE!,#VALUE!
383,first fly in fly out job,Longhole Driller,"Kimberley, WA","June 15, 2015",i very much enjoyed my time and would go back there again if a job came up for me. i learned a new way of mining a new machine and was encouraged to learn the cablebolting machine.everyone was more than helpfull. From management to the underground miners.,very friendly people,none
384,Exciting forever changing workplace. Where good friendships are made.,Senior Field Assistant/Field Project Supervisor,Pilbara Western Australia,"June 10, 2015","12 hour work day, with varying activities. Including, data entry, inspections, training, auditing, collecting drill samples, driving, trucks and machinery and processing core samples. Just to name a few.Gained a lot of new qualifications while working there.A place where good friendships can be made.The worst part about the job was spending more than half the year away from home.The best part about the job was getting out into the remote outdoors, seeing some beautiful country, and the benefits that go with a miners salary.","Good pay, food supplied, fun job, lost of training and education","Lots of travel to and from work, being away from my family. Long hours."
385,well structured well managed organisation constantly improving their business and processes,Contract Supervisor & Projects Specialist,Hunter Valley NSW,"June 10, 2015","Typical day at work involved meeting with contractors for toolbox talks and document RA and HSE controls for the work to be performed that day, Review project status and complete due reports and team feedback, Attend team meetings and department coordination meetings, manage site access for contractors and negotiate access to work areas, keep all stakholders up to date with progress and project plans, negotiate conflicts between production and maintenance teams and ensure the smooth delivery of project.Identify, plan, budget, procure and oversee required design for projects that where scheduled to be completed as per the agreed capital plan.Lead or be part of teams involved in business improvement, incident or accident investigations, process improvement, etc.","Lots of training provided, encouraged team environment, plenty of well structured performance feedback",long commute to site
386,Great opportunities and large exposure,Principal,Perth,"June 8, 2015","I have worked for Rio Tinto almost eight years and delivered many projects successfully. Some projects were very challenging due to many operational staff with personal empires. As a project manager you get to know the traits of many stakeholders across the business and find the best way to get things done. I enjoyed my time with Rio and I have learned so much about the business and the job really developed me too. I have gained enormous experience and were fortunate to meet very senior stakeholders during the time I delivered key projects. In my role as Principle, I was responsible for the governance of the mine operations and expansion projects IT and technology requirements. This was a serious challenge since everyone was trying to do their own thing with little understanding why we try to control things. The governing part was mostly around standardization and cost. My role was to prevent people from spending. It teaches me to learn to work with diverse people and diverse operational areas. I have gained enormous people skills during my time at Rio which was needed to work with a large portfolio and many leaders with a budget that they can spend to get done what they want done. In many areas business rules were completely ignored which is probably a standard thing in a large organization.My overall rating is only a 3 Star purely because of my knowledge I've gained with my MBA. There are little attention paid to the quality of managers and how they apply succession and appropriate performance evaluations. There is little visibility to MoR and only those well known to executives,Â Â more... really get the opportunity to develop in career development. Most managers or leaders prevent HiPos from developing. Can't count everyone under this statement though, there are really good and quality people working at this large organization and managers with really good qualities. In my MBA I have learned a lot about how to manage and treat people to get the best out of them. I have also learned how HR should be aligned with the business goals. In Rio HR is outsourced, leaving most development to the direct leaders discretion. If your leader nominates you and his leader agrees, then maybe you get a chance. If I get an opportunity at Rio again, then I will do what I did before, deliver to the best I can, but will not keep my hopes high to be noticed for a key role. On the end of the day it comes down to who you know. As Project Managers we are also guilty of that but in Project Management you have to surround yourself with HiPos because you have deadlines to meet. Rio will always remain a great company to work for and their remuneration packages are very well structured.Â Â less",Networking opportunities with Senior Stakeholders in the business,Succession Planning and Annual performance reviews has rater errors
387,Poor organization and administration also © n,TÃ © technician to support Project Manager.,"Oruro, Bolivia","June 5, 2015","This company is not very well organized, lack of communication and administrators do not have the necessary to make your day trabajo.Un has two guards knowledge, the first one starts from 7:00 to 19:00, and the second of 19 : 00 to 7:00 the other day, he learns to be more deft to carry out projects and how to build tunnels in section 3 x 3 with JUMBO BOOMER, as also © n the disposal of explosive charges in different taladros.La direction was pÃ © simo not spend time or be part of daily work, colleagues are working each by hand, the most difficult part is to stay 12 hours inside the mine by orders of the manager, as also © n the unification of workers. What I liked about this job is the interaction that occurs with workers and knowledge of them.",private medical insurance,Working 12 hours a day
388,Excellent Staff,Safety Officer,Brockman 2,"June 4, 2015",Supporting all department within Production/ Maintenance and Fixed Plant.Being away from the family.Seeing the results from my hard work,#VALUE!,#VALUE!
389,"Poor management, toxic relationship with their workers.",Operator,labrador City,"June 3, 2015","poor management, planning, and organization. They do everything possible in Iron Ore Company to make people upset and scared for their job, accident waiting to happen.",Decent wage,have to work 84 hours in 7 days if you don't get forced for an extra 4 or 5 besides your 7 days.
390,Productive,Multi Skilled operator,Queensland,"June 3, 2015","12.5hrs shift split roaster day/nights very busy pit with a lot of machinery working close ,To interact with other work mates to make the every day task safe how to operator machines more productively How management roll plays a vital part in the mines progressTo have a good working relationship with co-workersTo be away from family and friendsTo train someone new to operate heavy machinery and see them progress forward",Fly In Fly out,Long Hours
391,overall good work place,Operator/Trainer,karratha,"June 2, 2015","Rio tinto Pilbara operations is more a life style than a job.Good place for family orientated people has a great roster 5on, 5off...If you don't mind the heat.",have just as many days of as worked,Heat and job scurity
392,A Mining Company,Superintendent Safeworking and Compliance,Pilbara,"May 25, 2015",A mining company that owns a Rail business.Requires strong and knowledgeable Supply Chain Managers to optimise the rail network and above rail assets,Excellent remuneration,#VALUE!
393,Excellent work climate,HSE SENIOR ADVISOR,"Cajamarca, CAJ","May 20, 2015","We formed a team of very dynamic, the working atmosphere was very good and working conditions Head tambien.Mi a very proactive person with many qualities worth more complicated copiar.La was part of negotiations with the Comunidades.Lo that I liked was that you can share work experiences with very capable and good at their materia.Fue professionals a great experience.","He had all the benefits of law, Bonds and viÃ¡ticos-performing ± or 100%",#VALUE!
394,big company plenty of opportunity,All Round Machine Operator,"Tom Price, WA","May 15, 2015",big company plenty of opportunity easy targets less pressuregood machines management easy to work with great team environment managing work instructions with two separate teams plenty of opportunity furthering career,big company,slow days
395,Enjoyed the work and working with my fellow workers.,Maintenance Fitter Heavy Equipment,Weipa north Queensland,"May 14, 2015",Learnt a lot. Seen the benefits of a good workshops well supplied with tooling and equipment. Most enjoyable aspect of the job was seeing projects through to the end and seeing a high level of reliable maintenance work being carried out.Hardest part of the job was leaving.,Working with well supplied and set out work place.,Understanding the logic of a large company
396,Big family culture based around teamwork,Human Resources Officer,Perth,"May 12, 2015","As part of the Graduates, Leadership & Diversity Team, my core responsibility was the management and facilitation of the 2013 Graduate Inductions, which included events management, presentation creation, point of contact for graduates, trainers, supervisors and speakers.During my time at Rio Tinto, I gained a strong understanding of the corporate working environment and culture. I also gained specialist knowledge about the mining industry and the company's many functions and top down managed corporate structure. Events and time management were two key areas of growth for me throughout the Inductions. Having such a diverse range of responsibilities from creating the powerpoint presentations, to organising training sessions and venue booking, allowed me to expand these skills. I was lucky enough to be part of a productive, hard working and tight team, which was made up of myself, a graduate and our supervisor. All of my co-workers were extremely friendly and supportive. I really felt like I was part of the family after such a short period of time.The hardest part of the job was learning to multitask and juggle a number of duties at once. However, I'm grateful for it because multitasking and time management are now two of my strong points.The most enjoyable part of the job was the diversity of the role and being able to help graduates begin their prosperous careers.","Great people, Great environment",Don't have many operations in the U.S!
397,Good company to work for,Mechanical Maintainer,"Dampier, WA","May 11, 2015",I enjoyed working in the Pilbara for the last 9 years. It was a wonderful area to live and work. I learned a great deal about the mining industry.,#VALUE!,#VALUE!
398,Overall good company but hires and fires too frequently,Engineer,"Salt Lake City, Utah","May 8, 2015","The company provides a great work life balance. There are occasional projects which require overtime or odd shifts but these are rare unless you take a role directly within operations. Like with any engineering job in the mining industry there is no single job you would do. You would be doing anything from day to day data analysis, project work, testing, modeling, or fieldwork. Since there is such good compensation and benefits you work with a really great bunch of people. The work is pretty exciting you will generally have an interesting project or two to work on.My gripe with the company is that mining is a very volatile industry with great highs and horrific lows. Great management fights pressure to go crazy with hiring and capital during the highs and to cut too much capital and people during the lows. In this regard I think Rio Tinto has absolutely horrible senior management. The last two CEOs have given in to the pressure to expand/reduce like they are puppets. Keep in mind the next couple years will be bad years so there will be little chance for advancement. There will be much better chances as metal prices increase. Another potential downside is you will generally be expected to relocate throughout your career.The bottom line is it is a good company to work for but you will need to be fully prepared to suddenly lose your job. You may want to rent instead of buy any property. And keep 6+ months of salary in the bank.","Great coworkers, great compensation",Very low job security
400,Riotinto is a good company to work for,SECURITY AND EMERGENCY RESPONSE MANAGER,"LIMA, PERU","May 7, 2015",Rio tinto wasa good company to work for and one of the best minning companies in the world. The companies leadership needs to understand better how to work in latin america,#VALUE!,#VALUE!
401,its a place of work,Lead Diesel Mechanic,utah,"May 6, 2015","its a place of work, wish I could say something nicelot of talk about safety but doing it is an other thing no sick days, hard to get time off,",pay,"management, shiftwork, co-workers"
402,Positive management skills experience,Field Engineer,WA,"May 1, 2015","Good field experience and construction management work. Learned skills such as quality control/assurance, contracts, scheduling, health & safety, and construction",#VALUE!,#VALUE!
403,Productive,Training Officer,West Angelas,"April 30, 2015",Hardest part is managing work & family.Miss so many things with family.Enjoy the challenge of being organized & helping people achive there goals.,good money - get ahead finacially,"Long hours, away from family"
404,Good worklife / lifestyle roster,Electrician,Pilbara,"April 25, 2015",Electrical maintenanceLearned how to fault find in a breakdown situationCo-workers i did encounter were all very good peopleHardest part about working for Rio Tinto was the fly's and working in 40+ Celsius,#VALUE!,#VALUE!
405,Productive well balanced work place,Asset Management Support Team Leader,Mongolia,"April 23, 2015","A great company to work for. Very diverse, and it prides itself on best practice. They respect the environment, and generally have a safe work place and employ even tempered, knowledgeable people.","A great company to work for. Very diverse, and it prides itself on best practice.",#VALUE!
406,t,Administration Assistant,Perth,"April 21, 2015","Great organisation to work was offered a position with Rio Tinto which I really enjoyed, Rio Tinto was a fun environment to work for.If I had the chance to go back I would.",#VALUE!,#VALUE!
407,He hicule © MÃ © Canico self-propelled © s,MÃ © Canico,"Shawinigan, QC","April 16, 2015",Book © Repair and maintenance © vÃ © s vehicles destined to opÃ © rations of aluminum. Collaboration with the technical support and superviseur.Remorquage in the pot rooms is the most difficult aspect where the stay © © curita is required.,#VALUE!,#VALUE!
408,Enjoyed working there in Republic of Armenia.,Specialist mining engineer-Life of Mine Planning,Perth,"April 15, 2015",AGRC is really a good place to work and the people i worked with are very dedicated and determined.i Learnt sincerity in work and to be loyal with work.,Good workforce,Cold environment
409,very fun working invioment,multiskilled operator,QLD,"April 15, 2015","I liked flying every week on a 7/7 roster a lot of fun operating different bits of gear, meeting new people and feeling like a second home.",good food,no swimming pool
410,A good and friendly environment looking out for your team mates,Ore Car Acting Supervisor/Maintenance Fitter,"Karratha, WA","April 13, 2015",Family & Friendly work place as well as productive.The new upgrade that is about to be commissioned is state of high class technology.Management always talking about safety on the job.If the job is unsafe stop the job.Co workers are always there to give you a hand if requiredThe hot weather and fly's can be challenging but you get use to it.The beach across the camp a beautiful sight.,Production targets met we have bbqs,long days of 12 hrs
