,review title,job title,job location,date,description,pros,cons
500,Diverse global mining company,Lead Open Pit,"Johannesburg, GP","September 13, 2015","I have worked or being involved in all operations within Anglo American: Worked Underground and Open pit in Gold, Coal, Copper-Lead-Zinc, Copper, Platinum, Iron Ore and Diamonds.",Large and diverse mining company to hedge against single comodity fluctuations in demand and price,Large and complexed company structures with joint venture partners
501,Productive work environment,Risk Practitioner,"Potgietersrus, LP","September 4, 2015","We live our Values and care about each other. The hardest part of the job is to address the risk factor in any dangerous situation and be objective about it. At the same time it is also a fulfilment to self, in the way that I have addressed risks and addressed with management and other people and made them aware of such.",To learn each time with each scenario because each case has its own merits,n.a.
502,Good,Supervises £ seguran√ßa or patrimonial,"S„o £ £ Joa the bar, AB","September 2, 2015","My co-work.The that this company has more valuable that I could see in almost six years of toil √ © human material, riqu√ssimo! experienced people committed to pr√≥ximo, environment, thrive sustent√°vel and safely. We won countless tough challenges together, where there was the £ coopera√ß√ and partnership between all √°reas. I can easily make use as an example: the implantation £ the Plan Security p˙blico Portu√°rio, customs area and the first shipment.",#VALUE!,#VALUE!
503,10,Commercial department,Barro Alto,"August 28, 2015",The work come√ßa with reading and B√blia ora√ß√ £ o.Eu learned to fill the funding register and make time sheet and supervise the purchases Secretaria.Tive a good relationship with both dire√ß√ £ how much with ger√™ncia.Tive a good relationship with all my co-work.The hardest part it was at the beginning that does £ had knowledge of the registration to the financiamento.Foi when I went to Goi√ ¢ nia do training.,Great growth opportunity for youth and adults,£ demissa the funcion√°rios
505,Its fun and challenging ata the same time,ICT Assistant,Npumlng,"August 26, 2015",I will love to work at Anglo as a full time employees because the challenge that I in count was the challenge that I was able to handle,I was able to tell my manager my views,They needed us to further our studies
506,"id√'nea company,",Security engineer work,Concei√ß√ £ Within the Mato,"August 25, 2015","note 10, above the banner bearing the £ preserva√ß√ the phasic and mental integrity of workers, Tamba © m, social responsibility and care for the environment.",Security procedures,#VALUE!
507,Business Partner Payroll,Payroll Admin & HOD Secret Training Co-ordinator,"Witbank, MP","August 24, 2015","Each morning Safety TalksI have learned a lot from Anglo and they helped me to study further in my career pathManagement were all peoples persons and believed in open door policyThe hardest part of being a Payroll administrator was when it is month end for payroll closure and all the various mines send through all the relevant hours and payments for month end.Being part of the Social Committee and arranging the Womans day, Wellness awerness, Mandela day, Xmas Tree, Bosses day etc.","I loved working for Anglo American Thermal Coal, it was a good experience",Retrenchments and no job security
508,Productive and challenging,Diesel Mechanic,"Standerton, MP","August 21, 2015","I was 2 days off, when I came back to work there was a 2 day breakdown for LHD machine that was stopped functioning. Other co-workers had tried to resolve the problem, Management was so stressed out since there was non production. Firstly I did the fault finding and the problem was hydraulic pump that was not delivering oil to the fit pump.The hardest part of the job was working alone doing major breakdowns.The lesson learn was to find the fault first before attending the problem.",None,12 hours
509,Excellent company to work always looking to better customer service.,Corporate Sales,"M√ © Mexico City, DF","August 20, 2015","All worked together to achieve the √ © success of language courses, closely guarded the long-term continuity of courses and worked nicely, teachers in charge of the courses always arrived on time and were responsible for their work, making students prefer our service.",A company with 50-year ± years of experience in language capacitaci√≥n,#VALUE!
510,Goal driven - pressurized,SNR PROCUREMENT OFFICER,GAUTENG,"August 16, 2015","Fast, driven pressure, that never seemed to ease. Great team work and a team that wanted to see positive results.Working interdependently was a strong requirement, attention to detail and accuracy important.Red tape a huge factor with many levels of authority",#VALUE!,#VALUE!
511,good company to work with.,T√ © cynical in the £ Opera√ß√,Concei√ß√ £ Within the Mato-MG,"August 14, 2015","A company s√ © laugh, good to trabalhar.Comprometida with every part of seguran√ßa.Bons learning, as to give more value to institui√ß√ £ oe community in the way geral.Em Interface £ o √ dire√ß √ £ o, highly competent people of great value profissional.Da staff every day we learn a little more, mainly because it is the mineral industry, where dealing with people v√°rios levels sociais.A hardest part perhaps would I charge both Interface £ o £ perfei√ß√ the more enjoyable s√ £ results.The the challenges, the best.","refei√ß√ worth £ o, £ alimenta√ß√ it. Transport of good quality.",#VALUE!
512,"teamwork and development,a great place to work knowing that will be recognized",RIGS,"Witbank, MP","August 13, 2015","can lead a team as was nominated departmental Health and Safety chairperson,learned to work with minimum supervision.be your brother/sisterskeeper.",free tickets to sports games,Artisans working without assitants
513,safety first in work,instrument mech,Rustenburg NW,"August 10, 2015","supportive to each other successful,good communication,one team.team empowered and enable to succed acknowledgement and recognize the effort and contributions of other.",#VALUE!,8 hours per day work
514,Innovative,ANALYST,"Centurion, GP","August 4, 2015",respectful environment where solving system problems by being innovative. Support of management and collaboration as a team. End-user satisfaction,free lunch,system problems
515,Productive and determined,Safety Officer,Npumlng,"July 30, 2015","I love what i do, i love to do different tasks for me not to get bored. I'm a team player but i also work well i'm i'm alone. I get along well with my co-workers. I have learnt that people are different and therefor my approach to each indivivual must be different as well.Hardest job i've ever done was to do a behavior based coaching on a group of people that did not understand isizulu and english, but understood Sepedi. The most enjoyable part of my job is that i deal with different people and i make a positive change in their lives with regards to safety.",#VALUE!,#VALUE!
516,good,Safety personnel,"Middelburg, MP","July 27, 2015",The employee benefits were worth havingffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,Free lunches,Long hours
517,mine busy to be sold,mine overseer,"Black Stone, LP","July 27, 2015","My problem is that the mine is going to be sold, and I do not see a future on this mine any more. I worked very well for this company. They tought me alot and I was promoted by the company and the managment team on Union mine.","housing, underground allowences",Stabilty of the mine
518,my second home.,LUBRIFICA√ OF CHARGE á RECTIFIER INDUSTRIAL,£ Catala or GO,"July 23, 2015",Overall concept of the best companies to work for in the £ regia.,#VALUE!,#VALUE!
519,Productive and interesting workplace,Psychometric Intern (HR Graduate),"Mokopane, Limpopo","July 23, 2015","Never a dull moment as there is always something that requires one's attention. The workplace is quite productive and busy, although hard work pays off and gets recognised.","Free accessories, such as USBs, jackets etc. You receive your own work computer and do receive travel claims. Salaries are good",Long hours and long distances to mines
520,tools that facilitate daily to perform tasks always found and that makes the job is pleasing,operator and supervisor,"santiago, region metrop√≥litana","July 21, 2015","I learned a lot of workers and they learned a lot from misiempre there was a good working relationship never an insult or disrespect, accomplish many things by management who believed in me and in my propuestas.la hardest part of the work was never named by that how difficult was the most pleasing to realizarllegue freshly © n graduate to work and I went with a magister in wastewater treatment and drinking water (the information was reciprocates well as the magister are those who have learned and teach me ± aron).",safe bonds etc.,no cons
521,"Work at best, at Anglo american Platinum",Trainee metallurgist,"Northam, LP","July 17, 2015","The typical day at work, it was when the plant foreman who lianse with our department resist to knowledge my competence to the engineering department in order to be evaluated on my performance, due to personal disagreement between us, this was until we found the way to deal with our indifference's. i have learned a lot based on organisational culture and communications skills which added me the opportunity to successfully execute my work. i became the best at my project work and the metallurgical engineering work based, as i was able to act as a metallurgist when the need arises. the hardest part of the job was when we had to sample in the chrome plant as this was too physical and time demanding job. where the most enjoyable part of the sampling job was when i was running my analysis of results from sampling at metallurgical laboratory, an also the given responsibility as a plant foreman for the whole shift.",yes,sampling time was taking time.
522,"Very good job, and the pay is always on time.",English teacher,"Metepec, MEX","July 16, 2015",My work for this company has been satisfactory. I have met many people and work very comfortable. I just go and I cordially impart my five hours of classes in very good working environment. I am a serious person used to go to work and socialize really little. But when work gives me a chance I'm usually polite and affable with all the company‚ ± eros.,No pros only get paid per hour after the end of each course.,If there is a half-hour break for a snack and then continue with the class.
523,Very good working environment,engineer memoirist,"Nogales, VS","July 13, 2015","Very good place to learn and develop what they learned in college. I went with a large image of people helped me and I tendi√≥ a hand in the development of my job title. The only point against it takes on how hard it is to have a retroalimentaci√≥n from tutors memoirist / practice, especially in the area of ??mantenci√≥n, as it is very difficult to take a little of their limited time .Another point against is how complicated could get a job.",Good mobilization and payments.,#VALUE!
524,Understanding,Utility Technician (SHIFT SAFETY REPRESENTATIVE),"Polokwane, LP","July 12, 2015",A good one with challenges and learnings.To always think out the box.Always easy to work with and open to employees(transparent).Hard workers and enjoy each other's companies(open).To work in a noisy area.Although the working environment is noisy Personal Protective Equipment is always provided for.,yes,yes
526,Company DINA ¢ mica and enjoyable to work.,Contract Manager,"Belo Horizonte, MG","July 11, 2015",". Gesta £ the contractors who forced me to revisit the contracts and monitor the day to day business. Hard work but extremely rewarding .. Relationship and knowledge t√ © cynical in various disciplines ... The director and my general manager were extremely smart people, Dina mica ¢ and flex√veis .. My team was formed by me and got excellent results. Other colleagues, supported positively .. Gesta £ the companies together ""urg√™ncia"" of work, forced me to me unfold to ensure compliance to company procedures and standards .. The work was fant√°stico and always very motivated to ensure the successful development of the work and contractors.",The company provided all the resources for a good team performance.,Nothing.
527,Productive,HR TRAINER,Rustenburg NW,"July 10, 2015",everyday i enjoyed myself as i usually meet with different kins of people e.g culture and we made agreat team each an everyday.everyday is great. most enjoyable time is being in front of people do my presentation.,no free lunches,no long hours
528,An exceptional company that can take care of your employees,Estagi√°ria in the area of ??the £ Manuten√ß√ Planning,"Barro Alto, GO","July 6, 2015","It was an Experience extraordin√°ria the ger√™ncia, my co-workers. The √°rea planning √ © a perfect √°rea to work, liked my activities, visit the √°reas and make relat√≥rios, to be near the equipment and understand the entire process of √°rea £ produ√ß√ the, £ manuten√ß√ the preventive, predictive etc. Open an order of the £ servi√ß√ for an activity to be performed, inspe√ß√?es route, requisi√ß√?es for the purchase of material. √ â an area that I would love to work again.","The company A © £ √≥tima in questa the sal√°rio, the alimenta√ß√ £, health plan, the results £ participate, odontol√≥gico plane, transportation, etc. ambulat√≥rio",#VALUE!
529,Productive,Senior accounts assistant,Emalahleni witbank,"July 2, 2015","a very great place to work at, the co-workers are very nice and management has an open door policy which is very nice. most enjoyable part of my job is the inter action with my co workers, we work hard and try to find new ways of having fun in the workplace.",great people,overtime
530,"Productive, learning and fun place",Metallurgist,"Centurion, GP","June 29, 2015","It is a dynamic work place, everyday is an opportunity to learn something new. employees are encourage to have future and grwoths plans through the individual development plan which is link to the perfomance contract. Employees are valued","free lunch, medical benefits",#VALUE!
531,Excellent,Mechanical plant shutdown Angloamerican,"Santiago de Chile, RM","June 27, 2015","Although it was a short time everything was neat, clean and structured as large mining company that is, each area ± aba-performing its function as it should.",#VALUE!,#VALUE!
532,It was very exciting in this role,Training Manager,Zimbabwe,"June 26, 2015","At this organisation I was incharge of the training for apprentices in engineering, production and administration. I was working with a variety of people doing completely different jobs and each section saw themselves as better than the other. But overall this was a very productive company. I enjoyed a lot of travelling within the country and going to South Africa to learn from the sister company. This company was in Zimbabwe.",some times yes,most times very long hours
533,"√ ""last company",Human Resources Analyst SR,"S√ £ o Paulo, SP","June 23, 2015","The company has a good atmosphere, with courtesy and respect among employees. √ ""optimum benefits.",#VALUE!,#VALUE!
534,"Fun, exciting, educational workplace",PLANT LEARNER,"Kathu, NC","June 22, 2015",My day at work is basically filled with the excitement and joy of being able to help others and resolve their quiries. I have learned that safety should always be a number one priority for all parties at work. One is always part of the management team as long as you have an impact on the work you do. Treating one's fellow workers with respect and the dignity they deserve is of great importance. The hardest part of my job is having to work non-office related hours. The most enjoyable part of my job is the feeling I get after being able to assist a person on their quiry.,Vouchers,Long hours
535,"Improve levels in administration, because they generate divisions between unions and business",Multifunctional operator maintainer,"Calera, VS","June 21, 2015","innovative company, generating jobs, worried neighboring communities. Assumes responsibility for poorly executed work product of bad decisions makers and generate discomfort in people.","College scholarships for children, dental health insurance, work clothes, wages and vacation, labor carred√ßra.",Very daring supervisors who risk to worker and company.
536,excellent company to work for but positions in management for women and other ethnic groups were difficult at the time,Internal sales co-ordinatior,"Johannesburg, GP","June 19, 2015","What a great company to work for. We had a fantastic sales team this was due to the many team building exercises we went on. salary was excellent, also performance bonuses plus quarterly sales incentives. lots of entertainment, braais, champayne breakfasts golf days, exhibitions were the staff were totally involved in...",#VALUE!,#VALUE!
537,Stable company and good values as Safety is first priority,Personal Assistant,"Johannesburg, GP","June 16, 2015",Eery day is a challangeLearned to be proactive as possibleGood ManagementCo-Workers fun to work withHardest part of the job when a mistake is made to rectify Regocnition,free Lunches and parking,none
538,Company very Dina mica and adaptable ¢.,mine planning coordinator,"Belo Horizonte, MG","June 15, 2015",Much tradition £ operating PORA © m easily adaptable to new m√ © all and practices.,Stability,#VALUE!
539,Excellent company,Trainee,GP,"June 14, 2015","Working at the mines, I have learnt to be tough, self-motivated, determined and focused. It has also taught me to integrate with people of different races, backgrounds and positions. Tutoring enabled me to get in touch with the basics of learning to enable me to assist the students with understanding the work, to learn to communicate properly and to link the work to practical applications.",Some times,no issue
540,Hard work pays devidends,Capital Project Procurement Manager,"Johannesburg, GP","June 9, 2015",We start early in the morning and have briefing of the days events.Every day is new adventure to get the project to the next phases.managment plays and imported role of how the project is managment and getting things done and thinking out of the box.We all work as team.The hardest part part is to meet your budget and getting the business proposal approvedThe success of getting your project approved,people environment,Long hours
541,JobWork life Balance,Professional in Training: Human Resources,"Vandyksdrif, MP","June 8, 2015","The working hours are great especially for a family orientated person.Working for Anglo has taught me a whole spectrum on the HR Generalist field. I have worked well with all the departments i have worked in. the hardest part of the job, is moving from one city to another although its done with prior notice, it still not easy.I love learning what each department in HR contributes to the Wider HR and the operation.",Fringe Benefits,Relocation
542,√ â a highly qualified company.,General Services,"Barro Alto, GO","June 3, 2015","I learned many things, with the Security courses and specialized m√°xima offered by the company, the £ dire√ß√ demonstrates the compet√™ncia according to his deeds. √ © work enjoyable and Stable",#VALUE!,#VALUE!
543,Company with good conviv√™ncia between employer and employee,general Services,£ Catala or GO,"May 31, 2015","Input seven hours with £ inspe√ß√ the workpiece then immediately output to Services as £ manuten√ß√ in the residences and new servi√ßos.Volta for lunch at home and after an hour return to work apendendo working height and how handling products qu√micos.A hardest part was shifting out of the cities and the most enjoyable to £ realiza√ß√ staff of a qualidade.Quanto up Service of colleagues were all united towards a place of better job, as well as ger√™ncia it was open to di√°logos.",£ satisfaction the quality up Service,Shift out of town
544,good,T√ © cynical in elast © tric and instrumentation £ 2,Fields Goytacazes RJ,"May 31, 2015",very good company with good wages and beneficiosboa gerenciabom workplace,#VALUE!,#VALUE!
545,√ â the same company that Ambras-Only that with another reason £ social.,Telephonist and receptionist,"S√ £ o Paulo, SP","May 30, 2015",Working with joy and tranquilidades.A work with responsibilities and honestidade.Dire√ß√ £ oe ger√™ncia sensacional.Trabalhamos in a very familiar.Sempre company has some difficult but people have to deal with p√≥s and contra.O daily life enjoyable and very busy.,"Ticket refei√ß√ £ o, transportation vouchers, Plr, Medical Assistance © tip Famalia without payroll deduction, conv√™nio odontol√≥gico, schedule flex√vel, √°rea of ??convenience, party for funcion√°rios and 1 guest and order party year for children.",Ticket alimenta√ß√ £ o.
547,Company plans everything well,Quality coordinator,"Belo Horizonte, MG","May 27, 2015",Contact with professionals highly values ??the qualificados.Empresa funcion√°rios.Todos have clearly defined goals.,benefits package,£ Opera√ß√ in the city without infrastructure (£ Concei√ß√ the Mato Dentro)
548,Fun everyday,Store Manager,"Johannesburg, GP","May 27, 2015","Make work easier for yourself don't work hard but work smart, safety first people awareness hygiene awareness health awareness",Free lunches,#VALUE!
549,"Company would be and major projects, and √≥tima enterprise policy",PROCESS OPERATOR,£ Catala or GO,"May 26, 2015","A leader and competent company with a policy would be developed and, with princ√pios s√≥lidos and well defined. I think you should just look with new eyes, jewelry that form working there, and that does the £ has the opportunity","Wages, benefits, environment, structure, stability and professionalism.","N√ £ o has a degree in political manages career development, and end up losing their RecA funcion√°rios © m formed, to other companies!"
550,"Anglo American Platinum, Precious Metals Refinery is responsible for recovery PGM's.",Exposure Trainee,Rustenburg NW,"May 23, 2015",At PMR everyone receives support in the workplace. The company trains its employees and helps them to grow. Metallurgists are involved in many different projects and report to management in production. Safety first and production second.,Clean,#VALUE!
551,Great team of people.,Project Geologist,"Sodankyl√§, Finland","May 22, 2015",Very friendly working environment with great team work spirit and work life balance. Diverse team. Great facilities. Flexible working hours.,#VALUE!,#VALUE!
552,Aggressive work ethic,Company Secretary,"Johannesburg, GP","May 14, 2015",Extremely busy days calling for overtimeI learned how to handle stressI had good and bad managers due to various restructures over the years,"Free lunch, subsidised gym and a good medical aid",No balance as how they work their staff
553,Productive,Receptionist,"Johannesburg, GP","May 14, 2015",#NAME?,#NAME?,N/a
554,Good experience,Human Resources Manager,Postmasburg,"May 12, 2015","Dynamic environmentChallanging,futuristic,unionized,shortage of skilled employees,huge demand for work in the community,Employee expectations too high",#VALUE!,#VALUE!
555,extremely monotonous,HR,"Kathu, NC","May 11, 2015","Unfortunately, a typical day at work will be almost exactly the same as the previous one, but at least you are working with people which can make it somewhat surprising occasionally.Our manager creates a very uninviting atmosphere at work, which can get to us sometimes. The manager doubts each person for him/her which can create confusion and frustration.I did learn a lot from my co-workers and I also learned that each day must be like your first day at work when you are working with people/ clients. you must be joyful and enthusiastic when working with them, because each day is a first for them (working with you).....",not long hours.,monotonous work and no lunches.
556,"Company s√ © ria, √≥tima to work.",Administrative assistant,£ Catala or GO,"May 9, 2015","£ programa√ß√ the transport, customer service, relat√≥rios, locks and rateios.Aprendi to deal with extreme situations that arise along the per√odo of trabalho.Gestor manager and great people to trabalhar.Parte difficult s√ £ o the apportionments, for the s√ £ v√°rios, but after learning is quiet. Part enjoyable, staff.",#VALUE!,#VALUE!
557,Average,Storeman,Rustenburg NW,"May 8, 2015","- People had this tendency of looking for me when they need help so they put me under so much pressure- To work with customers/ clientele that's what is important.- Every work needs a head, with them everything would have been difficult. We were working t",no,yes
558,Company focused on improving,Operator processes,£ Catala or GO,"May 7, 2015",professional growth and learning opportunities.,#VALUE!,#VALUE!
559,"Empresaapara great to work with,",Senior buyer,"Niquel√ ¢ ndia, GO","May 5, 2015","All I am and have, I give thanks to God first and then Anglo American, which opened the door and helped me to acquire the knowledge and experience I have today. I worked 23 years of my life in this business, and like any business, has its pros and cons, considering it has a lot more positive things √ © course.",You pay your sal√°rios on-time and meets its labor obriga√ßoesw.,You need to invest more in social.
560,work environment with great challenges,"Tailings Inspector, Plant Operator S√∫lfuros.","Antofagasta, AN","May 1, 2015","It's a job with many both labor and security challenges, as we have many people who need to be supervising that perform well and secure their work.",#VALUE!,#VALUE!
561,Fantastic company!,HR-Trainer,"Potgietersrus, LP","April 30, 2015",Mogalakwena Mine takes excellent care of it's employees!All ways has the employee's needs at heart and goes above and beyond.Development of personnel is very good.,#VALUE!,#VALUE!
562,Very formal work environment,Industrial practice,"Mel√≥n, VS","April 28, 2015",Company where you can learn a lot and very concerned about the safety of their workers.,#VALUE!,#VALUE!
563,Anglo American good companies to work,Process Operator B,£ Catala or GO,"April 27, 2015","During the activities performed during the workday is always involved with the team to take questions, learn and make sure that the rules and procedures are being followed the £, always striving for improvement Continua.Durante the per√odo I worked in this company can improve my knowledge professionals, with equipment, Updates Standards, Relationship with Personal, Comunica√ß√ £ oa Dire√ß√ £ o Manages the Company directly interact with all sectors working with several people in v√°rios segments and different cultures can improve my knowledge","Refei√ß√ £, transportation, uniform, PPE and training",nothing against
564,Performance driving and good experience,Safety Specialist,"Kathu, NC","April 23, 2015","Meetings and more meetings, where alot of people sit and are scared to make dicisions, management is highly driven but lag behind the rest. the hardest part of my job is to change mind sets.the most employable part of the company is the potential to advance.",management promotions.,Longer hours you work the more they expect.
565,Productive,Executive Assistant,"Johannesburg, GP","April 22, 2015","Allow me to highlight my strengths:‚Ä¢ Proficient in Microsoft Office (Word, Excel, PowerPoint, Outlook, etc.) as well as various database applications and the internet.‚Ä¢ Experienced in bookkeeping, billing, payroll systems, requisitions, SAP, Taleo, Maconomy and lotus notes.‚Ä¢ Exceptional level of professionalism and award-recognized level of service to customers and internal colleagues.‚Ä¢ Unsurpassed organizational and streamlining skills as well as time management skills.‚Ä¢ Type >70 wpm Throughout my career, I have maintained the highest performance standards within a diverse range of administrative functions, including being the ‚Äúface to the public‚Äù and leading a team focused on improving company operations. Further qualifications include:Diploma in Business Management and Administration (writing supplementary exam in Financial accounting) Studying towards my Bachelor of Business Administration.‚Ä¢ Strong background in all aspects of office management, from scheduling meetings and coordinating travel to overseeing budget and accounting functions.‚Ä¢ Demonstrated capacity to develop and maintain comprehensive administrative processes that improve the efficiency of day-to-day operations.Most importantly, I quickly learn your preferences, your goals and objectives, and I‚Äôll do my very best to aid in the leadership of your company. I would appreciate the opportunity to present in greater detail the contributions I would make as your Executive Assistant/ Personal Assistant.",N/a,#VALUE!
566,Productive work environment,Junior Engineer( Vacation Work),Rustenburg NW,"April 20, 2015","The overall management of the plant is not what it should be, but the general work culture is positive.The typical day is quite long but a lot can be learned when doing vacation work there.",#VALUE!,#VALUE!
568,Productivety and correct processing very important,Employee Data Management,North West (Rustenburg,"April 17, 2015","Productive and a place working and learning something new everyday. Learning a lot of processing on two computer screens and learning a lot about payroll, people. Management always treats us good and with respect. My co-workers becomes my family. The hardest part of my work was getting into the habbit of not being in finance but payroll working with people's salaries. I enjoyed working with the people around and learning new challenging work.",Coffee brakes at own time,Working overtime without being compensated for it
569,Productive,Trainee Technician,NW,"April 14, 2015","It is great working for Anglo American, I got a chance to understand their processes and got to see gas cooling towers, pumps, motors, transformers and so on. I would have loved to have stayed longer as there is so much to learn. But I am grateful for the opportunity I got.",More experience gained on Mechanical engineering fieild,Contract we signed was too short so we did not get enough exposure as we had hoped for
570,Very pleasant working environment,Apprentice,"Mel√≥n, VS","April 9, 2015","Excellent company, excellent people also © n who work there, ready to ± ar teaches things that have cost them year ± os without no problem, many willing to share their knowledge in mining industry.",Excellent health,Very close to the community
571,"Respons√°vel company, concerned Safely and respect diversity.",Intern,Rio de Janeiro - RJ,"April 7, 2015","The multinational Anglo American, is the most striking characteristics respect the safety and quality of life of funcion√°rio, recognition, and respect and good sal√°rios ADESA £ oa diversity of color, ra√ßae culture, g√™nero etc.Minha was experi√™mcia o £ the construction in the atua√ß√ £ £ √°rea deed of the Business systems within the financial management. I we were, two experts, one connected directly to the manager director. We faced major difficulties related to bureaucratic processes, it takes some answers √°reas and sometimes lack of £ organiza√ß√ the company's schedule with a todo.Por√ © m, a very good point, √ © that by acting in an area which required interface with several √°reas and consultants who provided the services, we can develop skills comunica√ß√ £ o, meet, discuss IDA ©'d negotiate Solutions with people and understand more about all √°reas of the organiza√ß√ £.",Recognition; Remunera√ß√ £ o; Security.,£ Lentid√ the Processes
572,fun place to work,Shovel Operator PC 4000/3000,"Tumbler Ridge, BC","April 1, 2015",easiest place ive ever worked for a phenomenal amount of money. loved going to work there bus ride to work and home only work half the year and clear 100k people were great to work with some shifters were dicks but youll find that everywhere. there were good ones too. great view alittle scary at times. loved it tho,7 days off,rocks falling from high walls and coal prices
573,Excellent experience,Pr√°ctica porfesional,"Santiago de Chile, RM","April 1, 2015","On a scale of 1 to 10, it is scored with 10. Excellent work environment and very concerned about staff security company.",#VALUE!,#VALUE!
574,interesting and challenging,Trainer (Heavy Equipment),Tumbler ridge,"March 30, 2015","my job when first hired was to operate grader and dozer and production loader and eventually moved to the training department where I instructed whmis musculoskeletal and company orientations and trained and evaluated new operators for dozer , grader and loader and also skid steer ,forklift ,aerial platform and fall arrest.I also occasionally helped out by operating equipment.",i loved the challenge of the training department,lack of cooperation between pit formans and training department
575,Good,Measure Engineer £ nico Manuten√ß√ £ o,"Pedra Branca do Amapari, AP","March 30, 2015","Developer and attempt to mudan√ßa manuten√ß√ of the culture £ corrective to preventive. As manuten√ß√ Engineer £ o able to work directly with all teams manuten√ß√ £ o (£ inspe√ß√ the PCM and Execution £ o) giving priority to visit the field where I could sharpen my knowledge of spare , the Acquisition £ materials, work plans, monitoring KPI¬'se £ realiza√ß√ the treatment of losses.",Time commitment,Stand apart of the family housed
576,learn and come up with resoluation to any problem,Control Room Operator,Rustenburg NW,"March 20, 2015","add vaule to company and help to produce a safe production, communication is the best key in team work, understand the culture of the company and work hard as a team.",working hard for company is a mentho to win a task,to do job as planned
577,fun workplace,Electrician,"Northam, LP","March 20, 2015","every morning we had a workshop safety meeting and on Wednesday we have section safety meeting with safety officer . I learned that anglo American do care about its employees when it comes to safety, every Tuesday of the week the mine manager holds meeting with the supervisors to discuss safety way of working and they are required to present register for workshop and section safety meeting. in my workshop we where like a family, each person had a buddy who can confined in him or her about family problems, health wise. in the workshop we had three electricians and eight assistant, the hardest part can come in the form critical breakdowns that requires that two artisan must be always present at the site ,the will be one electrician working on three section alone with two assistant , but when everything is done safely we all celebrate that we made it.",#VALUE!,#VALUE!
578,Salary vs quality of life,memorista student,"Santiago de Chile, RM","March 17, 2015","wages above the average, although difficult times often lead",#VALUE!,#VALUE!
579,Very busy and productive work enviroment,Personal Assistant,"Sishen, NC","March 17, 2015",My daily routine is beginning with organising of the day with my manager by reviewing their diary for the dayBook last minute urgent meetingsDocument controlPlacing ordersDriving clients around,Get to meet a wide variety of business entities and a day is so full time goes by quite fast,Areas in this mine is wide spread so it takes long to get from one meeting to another
580,challenging and amazing opportunities,Process Manager,"Santiago de Chile, RM","March 16, 2015","Challenging, with a lot of opportunities, relocation within the country as well as around the world. Operations, projects and technical research.",long careers and innovation,too big to get quick responses
581,organizational climate √≥timo,Human resources analyst,"Niquel√ ¢ ndia, GO","March 15, 2015","My Evaluation £ o √ © the company is going through the £ reestrutura√ß√, yet √ © one of the best companies to work for.",#VALUE!,#VALUE!
582,self development,Senior Administrator Materials Supply,"Thabazimbi, LP","March 14, 2015","I always try to learn something new,When my supervisor is doing something new I sit with him and learn,it become very interesting because gaining knowledge is very important for person's life.I also learning from my mistakes,when I have done mistakes I make sure that there are no repeat.The most hardest job is when I do job and taking time to meet deadline but what I do I ask my team to work or to assist so that I can meet target in time,because timing is very important.I also enjoy work when we work as a team.",after work,overtimes
583,"Stressfull, but well paying workplace",Colliery VOHE Officer,"Witbank, MP","March 12, 2015","Proud to be working for Anglo American. Good all-round company to work for.I grew a lot as person.Management not always up to par.Co workers is fun to be with - family attitudeThe hardest part for me was the hours, having to work on holidays, standby's and the fact that I worked underground.I stayed for the money, benefits and courses to improve myself","Benefits, salary, room to grow","Long hours, standby, working on holidays"
584,Well-balanced workplace,Analyst,"Johannesburg, GP","March 9, 2015","Typically my day starts off by checking in with my colleague to see if everything in the QC lab is running smoothly. Any stock shortages would prompt quote requests to the suppliers. Any documents amendments with regards to standard operating procedures and methods would be done by me. Check whether calibration standards are used optimally.I've leant a lot about ICP-OES/MS instrumentation by working with these instruments first-hand. I've leaned about process control and how important each link in the process-flow is for system to run at optimal levels.Management is very much involved in the day-to-day running of the lab. Information is transparent and readily available to everyone.There is respect for everyone among the co-workers. Everyone works well together.The hardest part of the job is getting rid of bad habits. Sometimes people are incapable of understanding the reasons why things should be done in a certain way.I love working with statistics. Making sense of raw data and being able to make efficient changes based of statistical data is very rewarding, i.e. optimizing calibration standards to achieve lower limits of detection.",Free Lunch,The lack of flexi-time
585,good company to work because of the people connected directly to me,Librarian,Rio de Janeiro - RJ,"March 7, 2015","It could be better than √ ©. My day job √ © cool because of the relationship with the students but unfortunately the company in £ invests in our £ forma√ß√ the, do the £ Gives nothing-Only the RioCard and I feel frozen in time.",small group,nA £ invest in the employee and the d√ £ £ o no incentive beyond the salary
586,Productive,Laboratory Processor,LP,"March 4, 2015","Each day at work was full of new challenges and ideas. Meeting new people and learning more about the company and its operations. The management team was friendly and easy to talk to and work with. When working as part of a team, your co-workiers become more than just co-workers but they are your friends and family that you can feel free around. The hardest or rather challenging part of the job was learning learnig to work different shift during different times of the day.",Training courses,Different shifts
